+------------------------+--------------------------------------------------------------+----------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                 |
| of the Block class in question. The actual final values may be different                                       |
| for different states of the block, or they may depend on a TileEntity etc.                                     |
+------------------------+--------------------------------------------------------------+----------+-------------+
| Mod name               | Registry name                                                | Hardness |  Resistance |
+------------------------+--------------------------------------------------------------+----------+-------------+
| BiblioCraft            | bibliocraft:armorstand                                       |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:bell                                             |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:bookcase                                         |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:bookcasecreative                                 |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:case                                             |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:clipboard                                        |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:clock                                            |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:cookiejar                                        |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:desk                                             |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:dinnerplate                                      |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:discrack                                         |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:fancysign                                        |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:fancyworkbench                                   |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:framedchest                                      |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:furniturepaneler                                 |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:label                                            |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:lampgold                                         |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:lampiron                                         |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:lanterngold                                      |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:lanterniron                                      |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:mapframe                                         |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:markerpole                                       |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:paintingframeborderless                          |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:paintingframefancy                               |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:paintingframeflat                                |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:paintingframemiddle                              |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:paintingframesimple                              |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:paintingpress                                    |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:potionshelf                                      |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:printingpress                                    |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:seat                                             |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:shelf                                            |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:swordpedestal                                    |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:table                                            |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:toolrack                                         |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:typesettingtable                                 |     0.00 |        0.00 |
| BiblioCraft            | bibliocraft:typewriter                                       |     0.00 |        0.00 |
| Botania                | botania:alchemycatalyst                                      |     2.00 |       30.00 |
| Botania                | botania:alfheimportal                                        |    10.00 |       50.00 |
| Botania                | botania:altar                                                |     3.50 |       17.50 |
| Botania                | botania:altgrass                                             |     0.60 |        3.00 |
| Botania                | botania:animatedtorch                                        |     0.00 |        0.00 |
| Botania                | botania:avatar                                               |     2.00 |       10.00 |
| Botania                | botania:bellows                                              |     2.00 |       10.00 |
| Botania                | botania:bifrost                                              |    -1.00 |        0.00 |
| Botania                | botania:bifrostperm                                          |     0.30 |        1.50 |
