+------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-------------------------------------------------+--------+-------------------------------------------+-------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-------------------------------------------------+--------+-------------------------------------------+-------------------------------------------------------+
| Mod name               | Registry name                                                | BlockID | Subtypes | Item ID | Item meta | Display name                                    | Exists | Ore Dict keys                             | NBT                                                   |
+------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-------------------------------------------------+--------+-------------------------------------------+-------------------------------------------------------+
| BiblioCraft            | bibliocraft:armorstand                                       |     537 |     true |    5102 |         0 | Oak Armor Stand                                 | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:armorstand                                       |     537 |     true |    5102 |         1 | Spruce Armor Stand                              | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:armorstand                                       |     537 |     true |    5102 |         2 | Birch Armor Stand                               | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:armorstand                                       |     537 |     true |    5102 |         3 | Jungle Armor Stand                              | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:armorstand                                       |     537 |     true |    5102 |         4 | Acacia Armor Stand                              | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:armorstand                                       |     537 |     true |    5102 |         5 | Dark Oak Armor Stand                            | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:armorstand                                       |     537 |     true |    5102 |         6 | Framed Armor Stand                              | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bell                                             |     538 |    false |    5103 |         0 | Desk Bell                                       | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcase                                         |     507 |     true |    5072 |         0 | Oak Bookcase                                    | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcase                                         |     507 |     true |    5072 |         1 | Spruce Bookcase                                 | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcase                                         |     507 |     true |    5072 |         2 | Birch Bookcase                                  | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcase                                         |     507 |     true |    5072 |         3 | Jungle Bookcase                                 | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcase                                         |     507 |     true |    5072 |         4 | Acacia Bookcase                                 | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcase                                         |     507 |     true |    5072 |         5 | Dark Oak Bookcase                               | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcase                                         |     507 |     true |    5072 |         6 | Framed Bookcase                                 | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcasecreative                                 |     508 |     true |    5073 |         0 | Oak Creative Bookcase                           | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcasecreative                                 |     508 |     true |    5073 |         1 | Spruce Creative Bookcase                        | true   |                                           |                                                       |
| BiblioCraft            | bibliocraft:bookcasecreative                                 |     508 |     true |    5073 |         2 | Birch Creative Bookcase                         | true   |                                           |                                                       |
