+-----------------------+-------------------------------------------+------------------------------+-----+
| Mod name              | Registry name                             | Entity class name            |  ID |
+-----------------------+-------------------------------------------+------------------------------+-----+
| BiblioCraft           | bibliocraft:biblioseat                    | EntitySeat                   |   0 |
| Botania               | botania:babylon_weapon                    | EntityBabylonWeapon          |  17 |
| Botania               | botania:corporea_spark                    | EntityCorporeaSpark          |  11 |
| Botania               | botania:doppleganger                      | EntityDoppleganger           |   5 |
| Botania               | botania:ender_air_bottle                  | EntityEnderAirBottle         |  12 |
| Botania               | botania:falling_star                      | EntityFallingStar            |  18 |
| Botania               | botania:flame_ring                        | EntityFlameRing              |   3 |
| Botania               | botania:magic_landmine                    | EntityMagicLandmine          |   6 |
| Botania               | botania:magic_missile                     | EntityMagicMissile           |   9 |
| Botania               | botania:mana_burst                        | EntityManaBurst              |   0 |
| Botania               | botania:mana_storm                        | EntityManaStorm              |  16 |
| Botania               | botania:pink_wither                       | EntityPinkWither             |  14 |
| Botania               | botania:pixie                             | EntityPixie                  |   2 |
| Botania               | botania:player_mover                      | EntityPlayerMover            |  15 |
| Botania               | botania:pool_minecart                     | EntityPoolMinecart           |  13 |
| Botania               | botania:signal_flare                      | EntitySignalFlare            |   1 |
| Botania               | botania:spark                             | EntitySpark                  |   7 |
| Botania               | botania:thorn_chakram                     | EntityThornChakram           |  10 |
| Botania               | botania:thrown_item                       | EntityThrownItem             |   8 |
| Botania               | botania:vine_ball                         | EntityVineBall               |   4 |
| Extra Utilities 2     | extrautils2:boomerang                     | EntityBoomerang              |   0 |
| Extra Utilities 2     | extrautils2:chunkdata                     | EntityChunkData              |   1 |
| Gravestone Mod        | gravestone:player_ghost                   | EntityGhostPlayer            | 378 |
| Immersive Engineering | immersiveengineering:chemthrowershot      | EntityChemthrowerShot        |   4 |
| Immersive Engineering | immersiveengineering:explosive            | EntityIEExplosive            |   7 |
| Immersive Engineering | immersiveengineering:fluorescenttube      | EntityFluorescentTube        |   8 |
| Immersive Engineering | immersiveengineering:railgunshot          | EntityRailgunShot            |   5 |
| Immersive Engineering | immersiveengineering:revolvershot         | EntityRevolvershot           |   0 |
| Immersive Engineering | immersiveengineering:revolvershotflare    | EntityRevolvershotFlare      |   6 |
| Immersive Engineering | immersiveengineering:revolvershothoming   | EntityRevolvershotHoming     |   2 |
| Immersive Engineering | immersiveengineering:revolvershotwolfpack | EntityWolfpackShot           |   3 |
| Immersive Engineering | immersiveengineering:skylinehook          | EntitySkylineHook            |   1 |
| Immersive Petroleum   | immersivepetroleum:speedboat              | EntitySpeedboat              |   0 |
| Minecraft             | minecraft:area_effect_cloud               | EntityAreaEffectCloud        |   3 |
| Minecraft             | minecraft:armor_stand                     | EntityArmorStand             |  30 |
| Minecraft             | minecraft:arrow                           | EntityTippedArrow            |  10 |
| Minecraft             | minecraft:bat                             | EntityBat                    |  65 |
| Minecraft             | minecraft:blaze                           | EntityBlaze                  |  61 |
| Minecraft             | minecraft:boat                            | EntityBoat                   |  41 |
| Minecraft             | minecraft:cave_spider                     | EntityCaveSpider             |  59 |
| Minecraft             | minecraft:chest_minecart                  | EntityMinecartChest          |  43 |
| Minecraft             | minecraft:chicken                         | EntityChicken                |  93 |
| Minecraft             | minecraft:commandblock_minecart           | EntityMinecartCommandBlock   |  40 |
| Minecraft             | minecraft:cow                             | EntityCow                    |  92 |
| Minecraft             | minecraft:creeper                         | EntityCreeper                |  50 |
| Minecraft             | minecraft:donkey                          | EntityDonkey                 |  31 |
| Minecraft             | minecraft:dragon_fireball                 | EntityDragonFireball         |  26 |
| Minecraft             | minecraft:egg                             | EntityEgg                    |   7 |
| Minecraft             | minecraft:elder_guardian                  | EntityElderGuardian          |   4 |
| Minecraft             | minecraft:ender_crystal                   | EntityEnderCrystal           | 200 |
| Minecraft             | minecraft:ender_dragon                    | EntityDragon                 |  63 |
| Minecraft             | minecraft:ender_pearl                     | EntityEnderPearl             |  14 |
| Minecraft             | minecraft:enderman                        | EntityEnderman               |  58 |
| Minecraft             | minecraft:endermite                       | EntityEndermite              |  67 |
| Minecraft             | minecraft:evocation_fangs                 | EntityEvokerFangs            |  33 |
| Minecraft             | minecraft:evocation_illager               | EntityEvoker                 |  34 |
| Minecraft             | minecraft:eye_of_ender_signal             | EntityEnderEye               |  15 |
| Minecraft             | minecraft:falling_block                   | EntityFallingBlock           |  21 |
| Minecraft             | minecraft:fireball                        | EntityLargeFireball          |  12 |
| Minecraft             | minecraft:fireworks_rocket                | EntityFireworkRocket         |  22 |
| Minecraft             | minecraft:furnace_minecart                | EntityMinecartFurnace        |  44 |
| Minecraft             | minecraft:ghast                           | EntityGhast                  |  56 |
| Minecraft             | minecraft:giant                           | EntityGiantZombie            |  53 |
| Minecraft             | minecraft:guardian                        | EntityGuardian               |  68 |
| Minecraft             | minecraft:hopper_minecart                 | EntityMinecartHopper         |  46 |
| Minecraft             | minecraft:horse                           | EntityHorse                  | 100 |
| Minecraft             | minecraft:husk                            | EntityHusk                   |  23 |
| Minecraft             | minecraft:illusion_illager                | EntityIllusionIllager        |  37 |
| Minecraft             | minecraft:item                            | EntityItem                   |   1 |
| Minecraft             | minecraft:item_frame                      | EntityItemFrame              |  18 |
| Minecraft             | minecraft:leash_knot                      | EntityLeashKnot              |   8 |
| Minecraft             | minecraft:llama                           | EntityLlama                  | 103 |
| Minecraft             | minecraft:llama_spit                      | EntityLlamaSpit              | 104 |
| Minecraft             | minecraft:magma_cube                      | EntityMagmaCube              |  62 |
| Minecraft             | minecraft:minecart                        | EntityMinecartEmpty          |  42 |
| Minecraft             | minecraft:mooshroom                       | EntityMooshroom              |  96 |
| Minecraft             | minecraft:mule                            | EntityMule                   |  32 |
| Minecraft             | minecraft:ocelot                          | EntityOcelot                 |  98 |
| Minecraft             | minecraft:painting                        | EntityPainting               |   9 |
| Minecraft             | minecraft:parrot                          | EntityParrot                 | 105 |
| Minecraft             | minecraft:pig                             | EntityPig                    |  90 |
| Minecraft             | minecraft:polar_bear                      | EntityPolarBear              | 102 |
| Minecraft             | minecraft:potion                          | EntityPotion                 |  16 |
| Minecraft             | minecraft:rabbit                          | EntityRabbit                 | 101 |
| Minecraft             | minecraft:sheep                           | EntitySheep                  |  91 |
| Minecraft             | minecraft:shulker                         | EntityShulker                |  69 |
| Minecraft             | minecraft:shulker_bullet                  | EntityShulkerBullet          |  25 |
| Minecraft             | minecraft:silverfish                      | EntitySilverfish             |  60 |
| Minecraft             | minecraft:skeleton                        | EntitySkeleton               |  51 |
