+--------------------+---------+-------------+-----------+------------+----------+-----------+--------------------------------------+
| Name               | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                |
+--------------------+---------+-------------+-----------+------------+----------+-----------+--------------------------------------+
| aerotheum          |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum    |
| ale                |    1004 |         300 |      1016 |          0 | COMMON   |     false | -                                    |
| alewort            |    1004 |         300 |      2000 |          0 | COMMON   |     false | rustic:ale_wort                      |
| applejuice         |    1050 |         300 |      1100 |          0 | COMMON   |     false | rustic:apple_juice                   |
| biocrude           |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                    |
| biodiesel          |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel  |
| cider              |    1004 |         300 |      1400 |          0 | COMMON   |     false | -                                    |
| cinderfire_whiskey |    1004 |         300 |      1016 |          0 | COMMON   |     false | rusticthaumaturgy:cinderfire_whiskey |
| cinderfire_wort    |    1004 |         300 |      2000 |          0 | COMMON   |     false | rusticthaumaturgy:cinderfire_wort    |
| coal               |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                    |
| concrete           |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidconcrete   |
| creosote           |    1100 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidcreosote   |
| crude_oil          |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil    |
| cryotheum          |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum    |
| diesel             |     789 |         300 |      1750 |          0 | COMMON   |     false | immersivepetroleum:fluid_diesel      |
| ender              |    4000 |         300 |      2500 |          3 | UNCOMMON |     false | thermalfoundation:fluid_ender        |
| ethanol            |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidethanol    |
| experience         |    -200 |         300 |       200 |         12 | UNCOMMON |      true | -                                    |
| flux_goo           |       8 |         300 |      6000 |          0 | COMMON   |     false | thaumcraft:flux_goo                  |
| gasoline           |     789 |         300 |      1200 |          0 | COMMON   |     false | immersivepetroleum:fluid_gasoline    |
| glowstone          |    -500 |         300 |       100 |         15 | UNCOMMON |      true | thermalfoundation:fluid_glowstone    |
| grapejuice         |    1070 |         300 |      1100 |          0 | COMMON   |     false | rustic:grape_juice                   |
| honey              |    1433 |         300 |      5500 |          0 | COMMON   |     false | rustic:honey                         |
| ironberryjuice     |    1100 |         300 |      1100 |          0 | COMMON   |     false | rustic:ironberry_juice               |
| ironwine           |    1034 |         300 |      1400 |          0 | COMMON   |     false | -                                    |
| lava               |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                       |
| liquid_death       |    1000 |         300 |      1500 |          0 | RARE     |     false | thaumcraft:liquid_death              |
| lubricant          |     925 |         300 |      1000 |          0 | COMMON   |     false | immersivepetroleum:fluid_lubricant   |
| mana               |     600 |         350 |      6000 |         15 | EPIC     |     false | thermalfoundation:fluid_mana         |
| mead               |    1034 |         300 |      1500 |          0 | COMMON   |     false | -                                    |
| mushroom_stew      |    2000 |         300 |      2000 |          0 | COMMON   |     false | -                                    |
| napalm             |    1000 |         300 |      4000 |          0 | COMMON   |     false | immersivepetroleum:fluid_napalm      |
| oil                |    1000 |         300 |      2250 |          0 | COMMON   |     false | immersivepetroleum:fluid_crude_oil   |
