+-------------------------------------------------+----------+-------------------------------------+----------------------------------------------------------+-----+
| Registry name                                   | Meta/dmg | Display name                        | Ore Dict Keys                                            | NBT |
+-------------------------------------------------+----------+-------------------------------------+----------------------------------------------------------+-----+
| backpack:stick                                  |        0 | Stone Stick                         | stickStone                                               |     |
| backpack:stick                                  |        1 | Iron Stick                          | stickIron                                                |     |
| botania:blazeblock                              |        0 | Blaze Mesh                          | blockBlaze                                               |     |
| botania:doubleflower1                           |        0 | Tall Mystical White Flower          | mysticFlowerWhiteDouble                                  |     |
| botania:doubleflower1                           |        1 | Tall Mystical Orange Flower         | mysticFlowerOrangeDouble                                 |     |
| botania:doubleflower1                           |        2 | Tall Mystical Magenta Flower        | mysticFlowerMagentaDouble                                |     |
| botania:doubleflower1                           |        3 | Tall Mystical Light Blue Flower     | mysticFlowerLightBlueDouble                              |     |
| botania:doubleflower1                           |        4 | Tall Mystical Yellow Flower         | mysticFlowerYellowDouble                                 |     |
| botania:doubleflower1                           |        5 | Tall Mystical Lime Flower           | mysticFlowerLimeDouble                                   |     |
| botania:doubleflower1                           |        6 | Tall Mystical Pink Flower           | mysticFlowerPinkDouble                                   |     |
| botania:doubleflower1                           |        7 | Tall Mystical Gray Flower           | mysticFlowerGrayDouble                                   |     |
| botania:doubleflower2                           |        0 | Tall Mystical Light Gray Flower     | mysticFlowerLightGrayDouble                              |     |
| botania:doubleflower2                           |        1 | Tall Mystical Cyan Flower           | mysticFlowerCyanDouble                                   |     |
| botania:doubleflower2                           |        2 | Tall Mystical Purple Flower         | mysticFlowerPurpleDouble                                 |     |
| botania:doubleflower2                           |        3 | Tall Mystical Blue Flower           | mysticFlowerBlueDouble                                   |     |
| botania:doubleflower2                           |        4 | Tall Mystical Brown Flower          | mysticFlowerBrownDouble                                  |     |
| botania:doubleflower2                           |        5 | Tall Mystical Green Flower          | mysticFlowerGreenDouble                                  |     |
| botania:doubleflower2                           |        6 | Tall Mystical Red Flower            | mysticFlowerRedDouble                                    |     |
| botania:doubleflower2                           |        7 | Tall Mystical Black Flower          | mysticFlowerBlackDouble                                  |     |
| botania:dreamwood                               |        0 | Dreamwood                           | dreamwood                                                |     |
| botania:dye                                     |        0 | Floral White Powder                 | dye,dyeWhite                                             |     |
| botania:dye                                     |        1 | Floral Orange Powder                | dye,dyeOrange                                            |     |
| botania:dye                                     |        2 | Floral Magenta Powder               | dye,dyeMagenta                                           |     |
| botania:dye                                     |        3 | Floral Light Blue Powder            | dye,dyeLightBlue                                         |     |
| botania:dye                                     |        4 | Floral Yellow Powder                | dye,dyeYellow                                            |     |
| botania:dye                                     |        5 | Floral Lime Powder                  | dye,dyeLime                                              |     |
| botania:dye                                     |        6 | Floral Pink Powder                  | dye,dyePink                                              |     |
| botania:dye                                     |        7 | Floral Gray Powder                  | dye,dyeGray                                              |     |
| botania:dye                                     |        8 | Floral Light Gray Powder            | dye,dyeLightGray                                         |     |
| botania:dye                                     |        9 | Floral Cyan Powder                  | dye,dyeCyan                                              |     |
| botania:dye                                     |       10 | Floral Purple Powder                | dye,dyePurple                                            |     |
| botania:dye                                     |       11 | Floral Blue Powder                  | dye,dyeBlue                                              |     |
| botania:dye                                     |       12 | Floral Brown Powder                 | dye,dyeBrown                                             |     |
| botania:dye                                     |       13 | Floral Green Powder                 | dye,dyeGreen                                             |     |
| botania:dye                                     |       14 | Floral Red Powder                   | dye,dyeRed                                               |     |
| botania:dye                                     |       15 | Floral Black Powder                 | dye,dyeBlack                                             |     |
| botania:dye                                     |    32767 | (WILDCARD)                          | dye                                                      |     |
| botania:flower                                  |        0 | Mystical White Flower               | mysticFlowerWhite                                        |     |
| botania:flower                                  |        1 | Mystical Orange Flower              | mysticFlowerOrange                                       |     |
| botania:flower                                  |        2 | Mystical Magenta Flower             | mysticFlowerMagenta                                      |     |
| botania:flower                                  |        3 | Mystical Light Blue Flower          | mysticFlowerLightBlue                                    |     |
| botania:flower                                  |        4 | Mystical Yellow Flower              | mysticFlowerYellow                                       |     |
| botania:flower                                  |        5 | Mystical Lime Flower                | mysticFlowerLime                                         |     |
| botania:flower                                  |        6 | Mystical Pink Flower                | mysticFlowerPink                                         |     |
| botania:flower                                  |        7 | Mystical Gray Flower                | mysticFlowerGray                                         |     |
| botania:flower                                  |        8 | Mystical Light Gray Flower          | mysticFlowerLightGray                                    |     |
| botania:flower                                  |        9 | Mystical Cyan Flower                | mysticFlowerCyan                                         |     |
| botania:flower                                  |       10 | Mystical Purple Flower              | mysticFlowerPurple                                       |     |
| botania:flower                                  |       11 | Mystical Blue Flower                | mysticFlowerBlue                                         |     |
| botania:flower                                  |       12 | Mystical Brown Flower               | mysticFlowerBrown                                        |     |
| botania:flower                                  |       13 | Mystical Green Flower               | mysticFlowerGreen                                        |     |
| botania:flower                                  |       14 | Mystical Red Flower                 | mysticFlowerRed                                          |     |
| botania:flower                                  |       15 | Mystical Black Flower               | mysticFlowerBlack                                        |     |
| botania:lexicon                                 |        0 | Lexica Botania                      | lexicaBotania                                            |     |
| botania:livingrock                              |        0 | Livingrock                          | livingrock                                               |     |
| botania:livingwood                              |        0 | Livingwood                          | livingwood                                               |     |
| botania:manaresource                            |        0 | Manasteel Ingot                     | ingotManasteel                                           |     |
| botania:manaresource                            |        1 | Mana Pearl                          | manaPearl                                                |     |
| botania:manaresource                            |        2 | Mana Diamond                        | manaDiamond                                              |     |
| botania:manaresource                            |        3 | Livingwood Twig                     | livingwoodTwig                                           |     |
| botania:manaresource                            |        4 | Terrasteel Ingot                    | ingotTerrasteel                                          |     |
| botania:manaresource                            |        5 | Gaia Spirit                         | eternalLifeEssence                                       |     |
| botania:manaresource                            |        6 | Redstone Root                       | redstoneRoot                                             |     |
| botania:manaresource                            |        7 | Elementium Ingot                    | ingotElvenElementium                                     |     |
| botania:manaresource                            |        8 | Pixie Dust                          | elvenPixieDust                                           |     |
| botania:manaresource                            |        9 | Dragonstone                         | elvenDragonstone                                         |     |
| botania:manaresource                            |       11 | Crafting Placeholder                | bPlaceholder                                             |     |
| botania:manaresource                            |       12 | Red String                          | bRedString                                               |     |
| botania:manaresource                            |       13 | Dreamwood Twig                      | dreamwoodTwig                                            |     |
| botania:manaresource                            |       14 | Gaia Spirit Ingot                   | gaiaIngot                                                |     |
| botania:manaresource                            |       15 | Ender Air Bottle                    | bEnderAirBottle                                          |     |
| botania:manaresource                            |       16 | Mana Infused String                 | manaString                                               |     |
| botania:manaresource                            |       17 | Manasteel Nugget                    | nuggetManasteel                                          |     |
| botania:manaresource                            |       18 | Terrasteel Nugget                   | nuggetTerrasteel                                         |     |
| botania:manaresource                            |       19 | Elementium Nugget                   | nuggetElvenElementium                                    |     |
| botania:manaresource                            |       20 | Living Root                         | livingRoot                                               |     |
| botania:manaresource                            |       21 | Pebble                              | pebble                                                   |     |
| botania:manaresource                            |       22 | Manaweave Cloth                     | clothManaweave                                           |     |
| botania:manaresource                            |       23 | Mana Powder                         | powderMana                                               |     |
| botania:mushroom                                |        0 | White Shimmering Mushroom           | petalWhite                                               |     |
