+------------------------------------+-------------------------------------------------+----------+-------------------------------------+-----+
| OreDict Key                        | Registry name                                   | Meta/dmg | Display name                        | NBT |
+------------------------------------+-------------------------------------------------+----------+-------------------------------------+-----+
| bEnderAirBottle                    | botania:manaresource                            |       15 | Ender Air Bottle                    |     |
| bFlask                             | botania:vial                                    |        1 | Alfglass Flask                      |     |
| bPlaceholder                       | botania:manaresource                            |       11 | Crafting Placeholder                |     |
| bRedString                         | botania:manaresource                            |       12 | Red String                          |     |
| bVial                              | botania:vial                                    |        0 | Managlass Vial                      |     |
| bellsIron                          | totemic:sub_items                               |        1 | Iron Bells                          |     |
| blockAluminum                      | chisel:blockaluminum                            |        0 | Block of Aluminum                   |     |
| blockAluminum                      | chisel:blockaluminum                            |        1 | Block of Aluminum                   |     |
| blockAluminum                      | chisel:blockaluminum                            |        2 | Block of Aluminum                   |     |
| blockAluminum                      | chisel:blockaluminum                            |        3 | Block of Aluminum                   |     |
| blockAluminum                      | chisel:blockaluminum                            |        4 | Block of Aluminum                   |     |
| blockAluminum                      | chisel:blockaluminum                            |        5 | Block of Aluminum                   |     |
| blockAluminum                      | chisel:blockaluminum                            |        6 | Block of Aluminum                   |     |
| blockAluminum                      | immersiveengineering:storage                    |        1 | Block of Aluminium                  |     |
| blockAluminum                      | thermalfoundation:storage                       |        4 | Block of Aluminum                   |     |
| blockBlaze                         | botania:blazeblock                              |        0 | Blaze Mesh                          |     |
| blockBrass                         | thaumcraft:metal_brass                          |        0 | Brass Block                         |     |
| blockBronze                        | chisel:blockbronze                              |        0 | Block of Bronze                     |     |
| blockBronze                        | chisel:blockbronze                              |        1 | Block of Bronze                     |     |
| blockBronze                        | chisel:blockbronze                              |        2 | Block of Bronze                     |     |
| blockBronze                        | chisel:blockbronze                              |        3 | Block of Bronze                     |     |
| blockBronze                        | chisel:blockbronze                              |        4 | Block of Bronze                     |     |
| blockBronze                        | chisel:blockbronze                              |        5 | Block of Bronze                     |     |
| blockBronze                        | chisel:blockbronze                              |        6 | Block of Bronze                     |     |
| blockBronze                        | thermalfoundation:storage_alloy                 |        3 | Block of Bronze                     |     |
| blockCactus                        | minecraft:cactus                                |        0 | Cactus                              |     |
| blockCharcoal                      | chisel:block_charcoal                           |        0 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        1 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        2 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        3 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        4 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        5 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        6 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        7 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        8 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |        9 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |       10 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |       11 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |       12 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |       13 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |       14 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal                           |       15 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        0 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        1 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        2 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        3 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        4 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        5 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        6 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        7 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        8 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |        9 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |       10 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |       11 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |       12 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |       13 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |       14 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal1                          |       15 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal2                          |        0 | Block of Charcoal                   |     |
| blockCharcoal                      | chisel:block_charcoal2                          |        1 | Block of Charcoal                   |     |
| blockCharcoal                      | thermalfoundation:storage_resource              |        0 | Block of Charcoal                   |     |
| blockClay                          | minecraft:clay                                  |        0 | Clay                                |     |
| blockCoal                          | chisel:block_coal                               |        0 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        1 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        2 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        3 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        4 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        5 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        6 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        7 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        8 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |        9 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |       10 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |       11 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |       12 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |       13 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |       14 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal                               |       15 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        0 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        1 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        2 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        3 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        4 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        5 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        6 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        7 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        8 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |        9 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |       10 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |       11 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |       12 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |       13 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |       14 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal1                              |       15 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal2                              |        0 | Block of Coal                       |     |
| blockCoal                          | chisel:block_coal2                              |        1 | Block of Coal                       |     |
| blockCoal                          | minecraft:coal_block                            |        0 | Block of Coal                       |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        0 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        1 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        2 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        3 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        4 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        5 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        6 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        7 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        8 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        9 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       10 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       11 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       12 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       13 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       14 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       15 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        0 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        1 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        2 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        3 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        4 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        5 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        6 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        7 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        8 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        9 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       10 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       11 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       12 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       13 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       14 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       15 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke2                         |        0 | Block of Coal Coke                  |     |
| blockCoalCoke                      | chisel:block_coal_coke2                         |        1 | Block of Coal Coke                  |     |
| blockCobalt                        | chisel:blockcobalt                              |        0 | Block of Cobalt                     |     |
| blockCobalt                        | chisel:blockcobalt                              |        1 | Block of Cobalt                     |     |
| blockCobalt                        | chisel:blockcobalt                              |        2 | Block of Cobalt                     |     |
| blockCobalt                        | chisel:blockcobalt                              |        3 | Block of Cobalt                     |     |
| blockCobalt                        | chisel:blockcobalt                              |        4 | Block of Cobalt                     |     |
| blockCobalt                        | chisel:blockcobalt                              |        5 | Block of Cobalt                     |     |
| blockCobalt                        | chisel:blockcobalt                              |        6 | Block of Cobalt                     |     |
| blockConcrete                      | chisel:concrete_black                           |        0 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        1 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        2 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        3 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        4 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        5 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        6 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        7 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        8 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |        9 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |       10 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |       11 | Black Concrete                      |     |
| blockConcrete                      | chisel:concrete_black                           |       12 | Black Concrete                      |     |
