+-----------------------------------------------------+-----+
| Registry name                                       |  ID |
+-----------------------------------------------------+-----+
| botania:agricarnation                               | 623 |
| botania:airrod                                      | 622 |
| botania:altarcraft                                  | 624 |
| botania:babylonattack                               | 625 |
| botania:babylonspawn                                | 626 |
| botania:bellows                                     | 627 |
| botania:bifrostrod                                  | 628 |
| botania:blacklotus                                  | 629 |
| botania:dash                                        | 630 |
| botania:ding                                        | 631 |
| botania:divacharm                                   | 632 |
| botania:divinationrod                               | 633 |
| botania:doit                                        | 634 |
| botania:enchanterenchant                            | 637 |
| botania:enchanterfade                               | 636 |
| botania:enchanterform                               | 635 |
| botania:endoflame                                   | 638 |
| botania:equipbauble                                 | 639 |
| botania:gaiatrap                                    | 640 |
| botania:goldenlaurel                                | 641 |
| botania:holycloak                                   | 642 |
| botania:laputastart                                 | 643 |
| botania:lexiconopen                                 | 644 |
| botania:lexiconpage                                 | 645 |
| botania:lightrelay                                  | 646 |
| botania:manablaster                                 | 647 |
| botania:manapoolcraft                               | 648 |
| botania:missile                                     | 649 |
| botania:music.gaia1                                 | 663 |
| botania:music.gaia2                                 | 664 |
| botania:orechid                                     | 650 |
| botania:potioncreate                                | 651 |
| botania:runealtarcraft                              | 652 |
| botania:runealtarstart                              | 653 |
| botania:spreaderfire                                | 654 |
| botania:starcaller                                  | 655 |
| botania:terrablade                                  | 656 |
| botania:terraformrod                                | 657 |
| botania:terrapickmode                               | 658 |
| botania:terrasteelcraft                             | 659 |
| botania:thermalily                                  | 660 |
| botania:unholycloak                                 | 661 |
| botania:way                                         | 662 |
| chisel:dirt_chisel                                  | 556 |
| chisel:fallback                                     | 554 |
| chisel:metal_break                                  | 549 |
| chisel:metal_fall                                   | 550 |
| chisel:metal_hit                                    | 551 |
| chisel:metal_place                                  | 552 |
| chisel:metal_step                                   | 553 |
| chisel:wood_chisel                                  | 555 |
| cookingforblockheads:fridge_close                   | 666 |
| cookingforblockheads:fridge_open                    | 665 |
| cookingforblockheads:oven_close                     | 668 |
| cookingforblockheads:oven_open                      | 667 |
| cookingforblockheads:toaster_start                  | 669 |
| cookingforblockheads:toaster_stop                   | 670 |
| immersiveengineering:birthdayparty                  | 691 |
| immersiveengineering:chargefast                     | 697 |
| immersiveengineering:chargeslow                     | 698 |
| immersiveengineering:crusher                        | 701 |
| immersiveengineering:dieselgenerator                | 695 |
| immersiveengineering:direswitch                     | 686 |
| immersiveengineering:metalpresspiston               | 690 |
| immersiveengineering:metalpresssmash                | 692 |
| immersiveengineering:railgunfire                    | 699 |
| immersiveengineering:revolverfire                   | 687 |
| immersiveengineering:revolverfirethump              | 700 |
| immersiveengineering:revolverreload                 | 693 |
| immersiveengineering:spark                          | 696 |
| immersiveengineering:spray                          | 688 |
| immersiveengineering:spray_fire                     | 694 |
| immersiveengineering:tesla                          | 689 |
| minecraft:ambient.cave                              |   0 |
| minecraft:block.anvil.break                         |   1 |
| minecraft:block.anvil.destroy                       |   2 |
| minecraft:block.anvil.fall                          |   3 |
| minecraft:block.anvil.hit                           |   4 |
| minecraft:block.anvil.land                          |   5 |
| minecraft:block.anvil.place                         |   6 |
| minecraft:block.anvil.step                          |   7 |
| minecraft:block.anvil.use                           |   8 |
| minecraft:block.brewing_stand.brew                  |   9 |
| minecraft:block.chest.close                         |  10 |
| minecraft:block.chest.locked                        |  11 |
| minecraft:block.chest.open                          |  12 |
| minecraft:block.chorus_flower.death                 |  13 |
| minecraft:block.chorus_flower.grow                  |  14 |
| minecraft:block.cloth.break                         |  15 |
| minecraft:block.cloth.fall                          |  16 |
| minecraft:block.cloth.hit                           |  17 |
| minecraft:block.cloth.place                         |  18 |
| minecraft:block.cloth.step                          |  19 |
| minecraft:block.comparator.click                    |  20 |
| minecraft:block.dispenser.dispense                  |  21 |
| minecraft:block.dispenser.fail                      |  22 |
| minecraft:block.dispenser.launch                    |  23 |
| minecraft:block.enchantment_table.use               |  24 |
| minecraft:block.end_gateway.spawn                   |  25 |
| minecraft:block.end_portal.spawn                    |  26 |
| minecraft:block.end_portal_frame.fill               |  27 |
| minecraft:block.enderchest.close                    |  28 |
| minecraft:block.enderchest.open                     |  29 |
| minecraft:block.fence_gate.close                    |  30 |
| minecraft:block.fence_gate.open                     |  31 |
| minecraft:block.fire.ambient                        |  32 |
| minecraft:block.fire.extinguish                     |  33 |
| minecraft:block.furnace.fire_crackle                |  34 |
| minecraft:block.glass.break                         |  35 |
| minecraft:block.glass.fall                          |  36 |
| minecraft:block.glass.hit                           |  37 |
| minecraft:block.glass.place                         |  38 |
| minecraft:block.glass.step                          |  39 |
| minecraft:block.grass.break                         |  40 |
| minecraft:block.grass.fall                          |  41 |
| minecraft:block.grass.hit                           |  42 |
| minecraft:block.grass.place                         |  43 |
| minecraft:block.grass.step                          |  44 |
| minecraft:block.gravel.break                        |  45 |
| minecraft:block.gravel.fall                         |  46 |
| minecraft:block.gravel.hit                          |  47 |
| minecraft:block.gravel.place                        |  48 |
| minecraft:block.gravel.step                         |  49 |
| minecraft:block.iron_door.close                     |  50 |
| minecraft:block.iron_door.open                      |  51 |
| minecraft:block.iron_trapdoor.close                 |  52 |
| minecraft:block.iron_trapdoor.open                  |  53 |
| minecraft:block.ladder.break                        |  54 |
| minecraft:block.ladder.fall                         |  55 |
| minecraft:block.ladder.hit                          |  56 |
| minecraft:block.ladder.place                        |  57 |
| minecraft:block.ladder.step                         |  58 |
| minecraft:block.lava.ambient                        |  59 |
| minecraft:block.lava.extinguish                     |  60 |
| minecraft:block.lava.pop                            |  61 |
| minecraft:block.lever.click                         |  62 |
| minecraft:block.metal.break                         |  63 |
| minecraft:block.metal.fall                          |  64 |
| minecraft:block.metal.hit                           |  65 |
| minecraft:block.metal.place                         |  66 |
| minecraft:block.metal.step                          |  67 |
| minecraft:block.metal_pressureplate.click_off       |  68 |
| minecraft:block.metal_pressureplate.click_on        |  69 |
| minecraft:block.note.basedrum                       |  70 |
| minecraft:block.note.bass                           |  71 |
| minecraft:block.note.bell                           |  72 |
| minecraft:block.note.chime                          |  73 |
| minecraft:block.note.flute                          |  74 |
| minecraft:block.note.guitar                         |  75 |
| minecraft:block.note.harp                           |  76 |
| minecraft:block.note.hat                            |  77 |
| minecraft:block.note.pling                          |  78 |
| minecraft:block.note.snare                          |  79 |
| minecraft:block.note.xylophone                      |  80 |
| minecraft:block.piston.contract                     |  81 |
| minecraft:block.piston.extend                       |  82 |
| minecraft:block.portal.ambient                      |  83 |
| minecraft:block.portal.travel                       |  84 |
| minecraft:block.portal.trigger                      |  85 |
| minecraft:block.redstone_torch.burnout              |  86 |
| minecraft:block.sand.break                          |  87 |
| minecraft:block.sand.fall                           |  88 |
| minecraft:block.sand.hit                            |  89 |
| minecraft:block.sand.place                          |  90 |
| minecraft:block.sand.step                           |  91 |
| minecraft:block.shulker_box.close                   |  92 |
| minecraft:block.shulker_box.open                    |  93 |
| minecraft:block.slime.break                         |  94 |
| minecraft:block.slime.fall                          |  95 |
| minecraft:block.slime.hit                           |  96 |
| minecraft:block.slime.place                         |  97 |
| minecraft:block.slime.step                          |  98 |
| minecraft:block.snow.break                          |  99 |
| minecraft:block.snow.fall                           | 100 |
| minecraft:block.snow.hit                            | 101 |
| minecraft:block.snow.place                          | 102 |
| minecraft:block.snow.step                           | 103 |
| minecraft:block.stone.break                         | 104 |
| minecraft:block.stone.fall                          | 105 |
| minecraft:block.stone.hit                           | 106 |
| minecraft:block.stone.place                         | 107 |
| minecraft:block.stone.step                          | 108 |
| minecraft:block.stone_button.click_off              | 109 |
| minecraft:block.stone_button.click_on               | 110 |
| minecraft:block.stone_pressureplate.click_off       | 111 |
| minecraft:block.stone_pressureplate.click_on        | 112 |
| minecraft:block.tripwire.attach                     | 113 |
| minecraft:block.tripwire.click_off                  | 114 |
| minecraft:block.tripwire.click_on                   | 115 |
| minecraft:block.tripwire.detach                     | 116 |
| minecraft:block.water.ambient                       | 117 |
| minecraft:block.waterlily.place                     | 118 |
| minecraft:block.wood.break                          | 119 |
| minecraft:block.wood.fall                           | 120 |
| minecraft:block.wood.hit                            | 121 |
| minecraft:block.wood.place                          | 122 |
| minecraft:block.wood.step                           | 123 |
| minecraft:block.wood_button.click_off               | 124 |
| minecraft:block.wood_button.click_on                | 125 |
| minecraft:block.wood_pressureplate.click_off        | 126 |
| minecraft:block.wood_pressureplate.click_on         | 127 |
| minecraft:block.wooden_door.close                   | 128 |
| minecraft:block.wooden_door.open                    | 129 |
| minecraft:block.wooden_trapdoor.close               | 130 |
| minecraft:block.wooden_trapdoor.open                | 131 |
| minecraft:enchant.thorns.hit                        | 132 |
| minecraft:entity.armorstand.break                   | 133 |
| minecraft:entity.armorstand.fall                    | 134 |
| minecraft:entity.armorstand.hit                     | 135 |
| minecraft:entity.armorstand.place                   | 136 |
| minecraft:entity.arrow.hit                          | 137 |
| minecraft:entity.arrow.hit_player                   | 138 |
| minecraft:entity.arrow.shoot                        | 139 |
| minecraft:entity.bat.ambient                        | 140 |
| minecraft:entity.bat.death                          | 141 |
| minecraft:entity.bat.hurt                           | 142 |
| minecraft:entity.bat.loop                           | 143 |
| minecraft:entity.bat.takeoff                        | 144 |
| minecraft:entity.blaze.ambient                      | 145 |
