+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------+----------+
| Class                                                                                                          | Registry name                                        | Ticking? |
+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------+----------+
| blusunrize.immersiveengineering.common.blocks.BlockFakeLight$TileEntityFakeLight                               | immersiveengineering:fakelight                       |      yes |
| blusunrize.immersiveengineering.common.blocks.TileEntityIESlab                                                 | immersiveengineering:ieslab                          |        - |
| blusunrize.immersiveengineering.common.blocks.cloth.TileEntityBalloon                                          | immersiveengineering:balloon                         |      yes |
| blusunrize.immersiveengineering.common.blocks.cloth.TileEntityShaderBanner                                     | immersiveengineering:shaderbanner                    |        - |
| blusunrize.immersiveengineering.common.blocks.cloth.TileEntityStripCurtain                                     | immersiveengineering:stripcurtain                    |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityArcFurnace                                       | immersiveengineering:arcfurnace                      |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityAssembler                                        | immersiveengineering:assembler                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityAutoWorkbench                                    | immersiveengineering:autoworkbench                   |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBelljar                                          | immersiveengineering:belljar                         |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBlastFurnacePreheater                            | immersiveengineering:blastfurnacepreheater           |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBottlingMachine                                  | immersiveengineering:bottlingmachine                 |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBreakerSwitch                                    | immersiveengineering:breakerswitch                   |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBucketWheel                                      | immersiveengineering:bucketwheel                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorCreative                                | immersiveengineering:capacitorcreative               |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorHV                                      | immersiveengineering:capacitorhv                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorLV                                      | immersiveengineering:capacitorlv                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorMV                                      | immersiveengineering:capacitormv                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityChargingStation                                  | immersiveengineering:chargingstation                 |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorHV                                      | immersiveengineering:connectorhv                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorLV                                      | immersiveengineering:connectorlv                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorMV                                      | immersiveengineering:connectormv                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorProbe                                   | immersiveengineering:connectorprobe                  |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorRedstone                                | immersiveengineering:connectorredstone               |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorStructural                              | immersiveengineering:connectorstructural             |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConveyorBelt                                     | immersiveengineering:conveyorbelt                    |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityConveyorVertical                                 | immersiveengineering:conveyorvertical                |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCrusher                                          | immersiveengineering:crusher                         |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityDieselGenerator                                  | immersiveengineering:dieselgenerator                 |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityDynamo                                           | immersiveengineering:dynamo                          |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityElectricLantern                                  | immersiveengineering:electriclantern                 |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityEnergyMeter                                      | immersiveengineering:energymeter                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityExcavator                                        | immersiveengineering:excavator                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFeedthrough                                      | immersiveengineering:feedthrough                     |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFermenter                                        | immersiveengineering:fermenter                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFloodlight                                       | immersiveengineering:floodlight                      |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPipe                                        | immersiveengineering:fluidpipe                       |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPlacer                                      | immersiveengineering:fluidplacer                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPump                                        | immersiveengineering:fluidpump                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityFurnaceHeater                                    | immersiveengineering:furnaceheater                   |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityLadder                                           | immersiveengineering:ladder                          |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityLantern                                          | immersiveengineering:lantern                         |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityLightningrod                                     | immersiveengineering:lightningrod                    |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityMetalBarrel                                      | immersiveengineering:metalbarrel                     |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityMetalPress                                       | immersiveengineering:metalpress                      |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityMixer                                            | immersiveengineering:mixer                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRazorWire                                        | immersiveengineering:razorwire                       |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRedstoneBreaker                                  | immersiveengineering:redstonebreaker                 |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRefinery                                         | immersiveengineering:refinery                        |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayHV                                          | immersiveengineering:relayhv                         |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayLV                                          | immersiveengineering:relaylv                         |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayMV                                          | immersiveengineering:relaymv                         |      yes |
